City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,mahalapye,-23.1041,26.8142,20.15,32,0,2.14,BW,1681932592
258,rio grande,-32.035,-52.0986,15.06,52,100,8.21,BR,1681932592
259,kisangani,0.5167,25.2,26.48,64,96,0.39,CD,1681932592
260,borgarnes,64.5383,-21.9206,11.03,86,100,1.7,IS,1681932592
261,masterton,-40.9597,175.6575,15.8,98,100,1.13,NZ,1681932592
262,narvik,68.4384,17.4272,6.88,96,100,2.66,NO,1681932592
263,usinsk,65.9939,57.5281,-1.36,96,100,5.59,RU,1681932592
264,dalandzadgad,43.5708,104.425,2.87,12,90,3.71,MN,1681932592
265,la passe,45.5549,-0.8967,19.13,70,0,3.99,FR,1681932421
266,joshimath,30.5667,79.5667,12.89,90,100,0.66,IN,1681932592
267,san ramon,37.7799,-121.978,16.32,48,0,5.66,US,1681932532
268,itamaraca,-7.7478,-34.8256,30.03,73,74,3.71,BR,1681932593
269,san jose de mayo,-34.3375,-56.7136,15.0,67,99,7.21,UY,1681932593
270,lepsy,46.235,78.9456,3.25,69,0,6.14,KZ,1681932593
271,kincardine,56.0667,-3.7167,11.99,74,9,3.87,GB,1681932448
272,mount pearl,47.5166,-52.7813,2.75,87,100,8.23,CA,1681932593
273,askoy,60.4092,5.226,13.86,52,0,4.63,NO,1681932593
274,fraserburgh,57.6874,-2.0184,8.57,80,1,3.6,GB,1681932571
275,las heras,-46.5419,-68.9359,21.54,39,100,10.6,AR,1681932593
276,tobias barreto,-11.1839,-37.9983,33.67,44,31,6.89,BR,1681932593
277,yaren,-0.5472,166.916,28.69,72,100,5.65,NR,1681932593
278,idri,27.5,13.2667,24.11,18,0,4.79,LY,1681932594
279,vilyuchinsk,52.9306,158.4028,2.15,81,100,3.64,RU,1681932408
280,port-gentil,-0.7193,8.7815,28.6,78,100,3.93,GA,1681932594
281,palmer,42.1584,-72.3287,11.47,52,75,6.17,US,1681932452
282,tvoroyri,61.5556,-6.8111,8.12,82,0,6.13,FO,1681932594
283,hithadhoo,-0.6,73.0833,28.74,70,100,1.52,MV,1681932461
284,kapa'a,22.0752,-159.319,25.82,71,20,3.6,US,1681932489
285,colonia,50.9333,6.95,12.76,32,0,4.63,DE,1681932353
286,wyrzysk,53.153,17.268,8.0,95,94,4.47,PL,1681932594
287,wajir,1.7471,40.0573,29.4,61,93,2.61,KE,1681932594
288,prince george,53.9166,-122.753,9.03,49,0,2.57,CA,1681932473
289,la ronge,55.1001,-105.2842,3.14,32,75,8.75,CA,1681932594
290,roslyakovo,69.043,33.1991,4.4,89,100,6.91,RU,1681932594
291,ayancik,41.9447,34.5861,12.67,90,58,0.34,TR,1681932595
292,lamu,-2.2717,40.902,28.12,74,100,5.97,KE,1681932406
293,vorgashor,67.5833,63.95,-6.64,97,100,3.62,RU,1681932403
294,poiana lacului,44.8167,24.7333,9.83,88,99,2.76,RO,1681932595
295,yatou,37.15,122.3833,11.34,94,64,4.84,CN,1681932595
296,nadi,-17.8,177.4167,23.0,94,20,1.54,FJ,1681932441
297,airuk,7.2772,168.8203,27.91,79,100,6.35,MH,1681932595
298,akureyri,65.6835,-18.0878,14.96,55,40,3.09,IS,1681932475
299,portland,45.5234,-122.6762,8.6,85,75,4.63,US,1681932083
300,tsiombe,-25.3,45.4833,23.32,88,100,5.46,MG,1681932595
301,napier,-39.4833,176.9167,15.16,95,21,0.45,NZ,1681932595
302,salalah,17.0151,54.0924,29.05,70,40,2.57,OM,1681932545
303,banswara,23.55,74.45,30.0,27,5,2.42,IN,1681932007
304,kalemie,-5.9475,29.1947,22.74,83,8,1.54,CD,1681932596
305,igarka,67.4667,86.5833,-18.64,99,99,1.01,RU,1681932596
306,corumba,-19.0092,-57.6533,30.84,65,40,4.12,BR,1681932596
307,ende,-8.8432,121.6623,24.81,85,100,2.74,ID,1681932596
308,adelaide,-34.9333,138.6,14.62,74,69,1.34,AU,1681932486
309,ketchikan,55.3422,-131.6461,12.26,37,20,6.17,US,1681932432
310,iwanai,42.9744,140.5089,5.75,85,100,2.78,JP,1681932596
311,ayr,55.4627,-4.6339,12.99,47,0,6.69,GB,1681932521
312,dunay,42.8803,132.3375,6.25,84,100,7.03,RU,1681932596
313,tuscaloosa,33.2098,-87.5692,30.61,27,0,0.45,US,1681932500
314,kimbe,-5.5502,150.1429,23.96,93,89,1.5,PG,1681932456
315,dongola,19.1667,30.4833,31.66,7,0,4.14,SD,1681932597
316,lazaro cardenas,17.9583,-102.2,29.07,57,41,5.07,MX,1681932597
317,prince rupert,54.3161,-130.3201,10.05,48,0,7.72,CA,1681932327
318,palikir - national government center,6.9248,158.1611,24.41,94,100,4.63,FM,1681932597
319,arhavi,41.3492,41.3069,22.95,65,98,5.31,TR,1681932597
320,pergamino,-33.89,-60.5736,20.66,30,5,8.05,AR,1681932597
321,ibiza,38.9088,1.433,16.79,75,0,3.09,ES,1681932528
322,nemuro,43.3236,145.575,3.79,91,99,3.42,JP,1681932449
323,alto araguaia,-17.3147,-53.2153,23.92,87,100,4.59,BR,1681932597
